PRS,Total,British_White,Non_British_White
PGS000010,0.125115848,0.12987013,0.107758621
PGS000011,0.114921223,0.119244392,0.099137931
PGS000012,0.138090825,0.128689492,0.172413793
PGS000013,0.183503244,0.188902007,0.163793103
PGS000018,0.186283596,0.18772137,0.181034483
PGS000019,0.142724745,0.13931523,0.155172414
PGS000057,0.120481928,0.119244392,0.125
PGS000058,0.151065802,0.157024793,0.129310345
PGS000059,0.145505097,0.146399055,0.142241379
PGS000200,0.112140871,0.109799292,0.120689655
PGS000296,0.169601483,0.175914994,0.146551724
PGS000329,0.308619092,0.354191263,0.142241379
PGS000337,0.287303058,0.288075561,0.284482759
PGS000349,0.107506951,0.107438017,0.107758621
PGS000746,0.159406858,0.153482881,0.181034483
PGS000747,0.172381835,0.175914994,0.159482759
PGS000748,0.146431881,0.158205431,0.103448276
PGS000749,0.148285449,0.162927981,0.094827586
PGS000798,0.153846154,0.164108619,0.11637931
PGS000818,0.128822984,0.132231405,0.11637931
PGS000899,0.155699722,0.164108619,0.125
PGS000962,0.169601483,0.184179457,0.11637931
PGS001355,0.168674699,0.182998819,0.11637931
PGS001780,0.183503244,0.184179457,0.181034483
PGS001839,0.250231696,0.25974026,0.215517241
PGS002048,0.235403151,0.249114522,0.185344828
PGS002244,0.164967563,0.168831169,0.150862069
PGS002262,0.129749768,0.133412043,0.11637931
PGS002775,0.155699722,0.161747344,0.13362069
PGS002776,0.176088971,0.188902007,0.129310345
PGS002809,0.140871177,0.146399055,0.120689655
PGS003355,0.197405005,0.20188902,0.181034483
PGS003356,0.288229842,0.285714286,0.297413793
PGS003438,0.142724745,0.147579693,0.125
PGS003446,0.273401297,0.270365998,0.284482759
PGS003725,0.1918443,0.203069658,0.150862069
PGS003726,0.18721038,0.191263282,0.172413793
PGS003727,0.189063948,0.19244392,0.176724138
PGS003866,0.234476367,0.239669421,0.215517241
PGS004196,0.193697868,0.208972845,0.137931034
PGS004197,0.265987025,0.276269185,0.228448276
PGS004198,0.217794254,0.236127509,0.150862069
PGS004199,0.213160334,0.221959858,0.181034483
PGS004200,0.234476367,0.247933884,0.185344828
PGS004321,0.139017609,0.13459268,0.155172414
PGS004443,0.25115848,0.280991736,0.142241379
PGS004444,0.28544949,0.325855962,0.137931034
PGS004513,0.240037071,0.271546635,0.125
PGS004514,0.25115848,0.284533648,0.129310345
PGS004595,0.125115848,0.135773318,0.086206897
PGS004596,0.11862836,0.12042503,0.112068966
PGS004696,0.308619092,0.305785124,0.318965517
PGS004697,0.330861909,0.324675325,0.353448276
PGS004698,0.265060241,0.266824085,0.25862069
PGS004743,0.24652456,0.26446281,0.181034483
PGS004744,0.21223355,0.224321133,0.168103448
PGS004745,0.234476367,0.250295159,0.176724138
PGS004746,0.253012048,0.265643447,0.206896552