PRS,group,prop,low_ci,high_ci
PGS000010,Total,0.115384615,0.057692308,0.182692308
PGS000011,Total,0.134615385,0.067307692,0.211538462
PGS000012,Total,0.144230769,0.076923077,0.211538462
PGS000013,Total,0.173076923,0.105769231,0.240384615
PGS000018,Total,0.153846154,0.086538462,0.230769231
PGS000019,Total,0.115384615,0.057692308,0.173076923
PGS000057,Total,0.086538462,0.038461538,0.144230769
PGS000058,Total,0.105769231,0.048076923,0.163461538
PGS000059,Total,0.144230769,0.077167356,0.211538462
PGS000200,Total,0.105769231,0.048076923,0.173076923
PGS000296,Total,0.173076923,0.105769231,0.25
PGS000329,Total,0.346153846,0.25024428,0.442307692
PGS000337,Total,0.298076923,0.211538462,0.39398649
PGS000349,Total,0.144230769,0.076923077,0.211538462
PGS000746,Total,0.115384615,0.057692308,0.182448028
PGS000747,Total,0.192307692,0.115384615,0.269230769
PGS000748,Total,0.163461538,0.096153846,0.240384615
PGS000749,Total,0.192307692,0.115628895,0.269230769
PGS000798,Total,0.125,0.067307692,0.192307692
PGS000818,Total,0.105769231,0.048076923,0.173076923
PGS000899,Total,0.096153846,0.038705818,0.153846154
PGS000962,Total,0.230769231,0.153846154,0.326678797
PGS001355,Total,0.173076923,0.105769231,0.25
PGS001780,Total,0.201923077,0.125,0.288461538
PGS001839,Total,0.288461538,0.211538462,0.375
PGS002048,Total,0.278846154,0.192307692,0.365384615
PGS002244,Total,0.153846154,0.096153846,0.230769231
PGS002262,Total,0.067307692,0.019230769,0.115384615
PGS002775,Total,0.105769231,0.048076923,0.172832644
PGS002776,Total,0.173076923,0.105769231,0.25
PGS002809,Total,0.134615385,0.076923077,0.201923077
PGS003355,Total,0.163461538,0.096153846,0.240384615
PGS003356,Total,0.326923077,0.240384615,0.423076923
PGS003438,Total,0.153846154,0.086538462,0.230769231
PGS003446,Total,0.326923077,0.240384615,0.423076923
PGS003725,Total,0.211538462,0.134615385,0.288461538
PGS003726,Total,0.192307692,0.125,0.278846154
PGS003727,Total,0.201923077,0.134615385,0.278846154
PGS003866,Total,0.240384615,0.153846154,0.326923077
PGS004196,Total,0.192307692,0.115384615,0.269230769
PGS004197,Total,0.317307692,0.230769231,0.413461538
PGS004198,Total,0.192307692,0.115384615,0.278601874
PGS004199,Total,0.240384615,0.163461538,0.326923077
PGS004200,Total,0.269230769,0.182692308,0.355769231
PGS004321,Total,0.125,0.067307692,0.192307692
PGS004443,Total,0.182692308,0.115384615,0.259615385
PGS004444,Total,0.307692308,0.221153846,0.394230769
PGS004513,Total,0.230769231,0.153846154,0.317063413
PGS004514,Total,0.326923077,0.240384615,0.423076923
PGS004595,Total,0.096153846,0.038461538,0.153846154
PGS004596,Total,0.134615385,0.076923077,0.211538462
PGS004696,Total,0.336538462,0.25,0.413461538
PGS004697,Total,0.365384615,0.269230769,0.451923077
PGS004698,Total,0.278846154,0.192307692,0.365384615
PGS004743,Total,0.288461538,0.202167356,0.375
PGS004744,Total,0.211538462,0.134615385,0.298076923
PGS004745,Total,0.298076923,0.211538462,0.384615385
PGS004746,Total,0.336538462,0.25,0.432692308
PGS000010,British_White,0.113924051,0.050632911,0.189873418
PGS000011,British_White,0.151898734,0.075949367,0.240184746
PGS000012,British_White,0.151898734,0.075949367,0.227848101
PGS000013,British_White,0.189873418,0.113924051,0.278481013
PGS000018,British_White,0.164556962,0.088607595,0.253164557
PGS000019,British_White,0.101265823,0.037974684,0.164556962
PGS000057,British_White,0.075949367,0.025316456,0.139240506
PGS000058,British_White,0.113924051,0.050632911,0.17721519
PGS000059,British_White,0.139240506,0.075949367,0.227848101
PGS000200,British_White,0.113924051,0.050632911,0.189873418
PGS000296,British_White,0.189873418,0.101265823,0.278481013
PGS000329,British_White,0.392405063,0.291139241,0.506007531
PGS000337,British_White,0.341772152,0.240506329,0.443037975
PGS000349,British_White,0.139240506,0.075949367,0.215189873
PGS000746,British_White,0.113924051,0.050632911,0.189873418
PGS000747,British_White,0.17721519,0.101265823,0.265822785
PGS000748,British_White,0.17721519,0.088607595,0.265822785
PGS000749,British_White,0.215189873,0.126582278,0.316455696
PGS000798,British_White,0.151898734,0.075949367,0.240506329
PGS000818,British_White,0.113924051,0.050632911,0.189873418
PGS000899,British_White,0.126582278,0.063291139,0.202531646
PGS000962,British_White,0.265822785,0.17721519,0.367088608
PGS001355,British_White,0.202531646,0.113924051,0.291139241
PGS001780,British_White,0.202531646,0.113924051,0.303797468
PGS001839,British_White,0.329113924,0.227848101,0.430379747
PGS002048,British_White,0.341772152,0.240506329,0.443037975
PGS002244,British_White,0.164556962,0.088607595,0.240506329
PGS002262,British_White,0.063291139,0.012658228,0.126582278
PGS002775,British_White,0.088607595,0.025316456,0.151898734
PGS002776,British_White,0.164556962,0.088607595,0.253164557
PGS002809,British_White,0.151898734,0.075949367,0.240506329
PGS003355,British_White,0.151898734,0.075949367,0.240506329
PGS003356,British_White,0.329113924,0.227848101,0.443037975
PGS003438,British_White,0.164556962,0.088607595,0.253164557
PGS003446,British_White,0.367088608,0.25348614,0.481012658
PGS003725,British_White,0.253164557,0.164556962,0.35443038
PGS003726,British_White,0.215189873,0.126582278,0.303797468
PGS003727,British_White,0.215189873,0.126582278,0.316455696
PGS003866,British_White,0.265822785,0.17721519,0.367088608
PGS004196,British_White,0.215189873,0.126582278,0.316455696
PGS004197,British_White,0.367088608,0.265822785,0.46835443
PGS004198,British_White,0.215189873,0.126582278,0.303797468
PGS004199,British_White,0.278481013,0.17721519,0.379746835
PGS004200,British_White,0.291139241,0.189873418,0.392405063
PGS004321,British_White,0.113924051,0.050632911,0.189873418
PGS004443,British_White,0.215189873,0.126582278,0.303797468
PGS004444,British_White,0.367088608,0.253164557,0.481012658
PGS004513,British_White,0.278481013,0.17721519,0.379746835
PGS004514,British_White,0.379746835,0.278481013,0.481012658
PGS004595,British_White,0.113924051,0.050632911,0.189873418
PGS004596,British_White,0.139240506,0.075949367,0.215189873
PGS004696,British_White,0.35443038,0.253164557,0.455696203
PGS004697,British_White,0.430379747,0.329113924,0.53164557
PGS004698,British_White,0.316455696,0.227848101,0.417721519
PGS004743,British_White,0.303797468,0.202531646,0.405063291
PGS004744,British_White,0.227848101,0.139240506,0.316455696
PGS004745,British_White,0.329113924,0.215189873,0.430379747
PGS004746,British_White,0.379746835,0.278481013,0.493670886
PGS000010,other,0.12,0,0.28
PGS000011,other,0.08,0,0.2
PGS000012,other,0.12,0,0.24
PGS000013,other,0.12,0,0.24
PGS000018,other,0.12,0,0.28
PGS000019,other,0.16,0.04,0.32
PGS000057,other,0.12,0,0.28
PGS000058,other,0.08,0,0.2
PGS000059,other,0.16,0.04,0.32
PGS000200,other,0.08,0,0.2
PGS000296,other,0.12,0,0.28
PGS000329,other,0.2,0.04,0.36
PGS000337,other,0.16,0.04,0.32
PGS000349,other,0.16,0.04,0.32
PGS000746,other,0.12,0,0.24
PGS000747,other,0.24,0.08,0.438983797
PGS000748,other,0.12,0,0.28
PGS000749,other,0.12,0,0.24
PGS000798,other,0.04,0,0.12
PGS000818,other,0.08,0,0.2
PGS000899,other,0,0,0
PGS000962,other,0.12,0,0.278983797
PGS001355,other,0.08,0,0.2
PGS001780,other,0.2,0.041016203,0.36
PGS001839,other,0.16,0.04,0.32
PGS002048,other,0.08,0,0.2
PGS002244,other,0.12,0,0.24
PGS002262,other,0.08,0,0.2
PGS002775,other,0.16,0.04,0.32
PGS002776,other,0.2,0.04,0.36
PGS002809,other,0.08,0,0.2
PGS003355,other,0.2,0.04,0.36
PGS003356,other,0.32,0.16,0.52
PGS003438,other,0.12,0,0.24
PGS003446,other,0.2,0.08,0.36
PGS003725,other,0.08,0,0.2
PGS003726,other,0.12,0,0.24
PGS003727,other,0.16,0.04,0.32
PGS003866,other,0.16,0.04,0.32
PGS004196,other,0.12,0,0.24
PGS004197,other,0.16,0.04,0.32
PGS004198,other,0.12,0,0.24
PGS004199,other,0.12,0,0.24
PGS004200,other,0.2,0.04,0.36
PGS004321,other,0.16,0.04,0.32
PGS004443,other,0.08,0,0.2
PGS004444,other,0.12,0,0.24
PGS004513,other,0.08,0,0.2
PGS004514,other,0.16,0.04,0.32
PGS004595,other,0.04,0,0.12
PGS004596,other,0.12,0,0.24
PGS004696,other,0.28,0.12,0.48
PGS004697,other,0.16,0.04,0.32
PGS004698,other,0.16,0.04,0.32
PGS004743,other,0.24,0.08,0.4
PGS004744,other,0.16,0.04,0.32
PGS004745,other,0.2,0.08,0.36
PGS004746,other,0.2,0.04,0.36