PRS,Group,prop,low_ci,high_ci
PGS003726,Total,0.261477046,0.221556886,0.299401198
PGS003727,Total,0.261477046,0.223552894,0.301397206
PGS003356,Total,0.243512974,0.205588822,0.283433134
PGS003725,Total,0.215568862,0.181636727,0.253493014
PGS004697,Total,0.203592814,0.167664671,0.241516966
PGS004696,Total,0.189620758,0.155688623,0.227494201
PGS002048,Total,0.18762475,0.155688623,0.221556886
PGS004743,Total,0.185628743,0.153692615,0.219560878
PGS003438,Total,0.183632735,0.147704591,0.21756487
PGS000058,Total,0.181636727,0.151696607,0.21756487
PGS000337,Total,0.179640719,0.145708583,0.213572854
PGS000746,Total,0.179640719,0.147704591,0.215568862
PGS001839,Total,0.177644711,0.145708583,0.209580838
PGS004746,Total,0.175648703,0.143712575,0.209580838
PGS003866,Total,0.171656687,0.141716567,0.20758483
PGS004698,Total,0.171656687,0.137724551,0.205588822
PGS001355,Total,0.169660679,0.137724551,0.201596806
PGS002244,Total,0.169660679,0.137724551,0.203592814
PGS000329,Total,0.167664671,0.133732535,0.201546098
PGS000899,Total,0.167664671,0.133783244,0.201596806
PGS004745,Total,0.167664671,0.133732535,0.201596806
PGS000013,Total,0.165668663,0.133732535,0.199600798
PGS002776,Total,0.165668663,0.133732535,0.19760479
PGS004321,Total,0.163672655,0.129740519,0.197554082
PGS003355,Total,0.161676647,0.129740519,0.195608782
PGS004443,Total,0.161676647,0.129740519,0.191616766
PGS001780,Total,0.159680639,0.129740519,0.193612774
PGS000018,Total,0.157684631,0.125799212,0.189620758
PGS002775,Total,0.157684631,0.123803204,0.191616766
PGS000010,Total,0.155688623,0.123752495,0.18762475
PGS000749,Total,0.155688623,0.123752495,0.189620758
PGS000962,Total,0.155688623,0.125748503,0.189620758
PGS004197,Total,0.155688623,0.125748503,0.18762475
PGS004744,Total,0.155688623,0.127744511,0.18762475
PGS002809,Total,0.153692615,0.123752495,0.185628743
PGS000296,Total,0.151696607,0.121756487,0.181636727
PGS000748,Total,0.151696607,0.121807196,0.185628743
PGS004200,Total,0.151696607,0.11781518,0.183632735
PGS004196,Total,0.149700599,0.119760479,0.185628743
PGS000798,Total,0.147704591,0.117764471,0.179640719
PGS000747,Total,0.145708583,0.113772455,0.175648703
PGS000012,Total,0.143712575,0.115768463,0.173652695
PGS003446,Total,0.143712575,0.113772455,0.177644711
PGS000019,Total,0.139720559,0.10783514,0.173652695
PGS000818,Total,0.139720559,0.109780439,0.169660679
PGS004199,Total,0.139720559,0.109780439,0.171656687
PGS004198,Total,0.137724551,0.107784431,0.165668663
PGS000059,Total,0.135728543,0.105839132,0.165668663
PGS002262,Total,0.129740519,0.101796407,0.161625938
PGS004513,Total,0.127744511,0.099851108,0.157633922
PGS000011,Total,0.123752495,0.095808383,0.153641906
PGS004514,Total,0.123752495,0.095859092,0.155688623
PGS004595,Total,0.123752495,0.095808383,0.153641906
PGS004596,Total,0.117764471,0.089820359,0.145657874
PGS004444,Total,0.115768463,0.087824351,0.143712575
PGS000200,Total,0.113772455,0.085828343,0.143712575
PGS000057,Total,0.107784431,0.081836327,0.137724551
PGS000349,Total,0.103792415,0.075848303,0.129740519
PGS000010,Subset_Other,0.109090909,0.036363636,0.2
PGS000011,Subset_Other,0.090909091,0.018181818,0.181356271
PGS000012,Subset_Other,0.127272727,0.054545455,0.218181818
PGS000013,Subset_Other,0.181818182,0.072727273,0.290909091
PGS000018,Subset_Other,0.2,0.109090909,0.309090909
PGS000019,Subset_Other,0.163636364,0.072727273,0.254545455
PGS000057,Subset_Other,0.145454545,0.054545455,0.254545455
PGS000058,Subset_Other,0.127272727,0.054545455,0.218181818
PGS000059,Subset_Other,0.072727273,0.018181818,0.145454545
PGS000200,Subset_Other,0.109090909,0.036363636,0.2
PGS000296,Subset_Other,0.145454545,0.054545455,0.254545455
PGS000329,Subset_Other,0.163636364,0.072727273,0.272727273
PGS000337,Subset_Other,0.127272727,0.054545455,0.218181818
PGS000349,Subset_Other,0.054545455,0,0.127272727
PGS000746,Subset_Other,0.145454545,0.055007365,0.236363636
PGS000747,Subset_Other,0.090909091,0.018181818,0.181818182
PGS000748,Subset_Other,0.109090909,0.036363636,0.2
PGS000749,Subset_Other,0.145454545,0.054545455,0.236363636
PGS000798,Subset_Other,0.090909091,0.036363636,0.181818182
PGS000818,Subset_Other,0.109090909,0.036363636,0.181818182
PGS000899,Subset_Other,0.145454545,0.055007365,0.254545455
PGS000962,Subset_Other,0.072727273,0.018181818,0.145454545
PGS001355,Subset_Other,0.145454545,0.054545455,0.236363636
PGS001780,Subset_Other,0.145454545,0.054545455,0.254545455
PGS001839,Subset_Other,0.181818182,0.090909091,0.272727273
PGS002048,Subset_Other,0.163636364,0.072727273,0.272727273
PGS002244,Subset_Other,0.109090909,0.036363636,0.2
PGS002262,Subset_Other,0.109090909,0.036363636,0.2
PGS002775,Subset_Other,0.163636364,0.072727273,0.272727273
PGS002776,Subset_Other,0.127272727,0.054545455,0.218181818
PGS002809,Subset_Other,0.127272727,0.054545455,0.218181818
PGS003355,Subset_Other,0.127272727,0.036825547,0.218181818
PGS003356,Subset_Other,0.236363636,0.127272727,0.363636364
PGS003438,Subset_Other,0.218181818,0.109090909,0.327272727
PGS003446,Subset_Other,0.181818182,0.090909091,0.290909091
PGS003725,Subset_Other,0.2,0.090909091,0.309090909
PGS003726,Subset_Other,0.272727273,0.163636364,0.4
PGS003727,Subset_Other,0.272727273,0.145454545,0.4
PGS003866,Subset_Other,0.127272727,0.054545455,0.218181818
PGS004196,Subset_Other,0.145454545,0.054545455,0.254545455
PGS004197,Subset_Other,0.2,0.109090909,0.327272727
PGS004198,Subset_Other,0.163636364,0.072727273,0.254545455
PGS004199,Subset_Other,0.145454545,0.054545455,0.236363636
PGS004200,Subset_Other,0.163636364,0.072727273,0.272727273
PGS004321,Subset_Other,0.109090909,0.036363636,0.2
PGS004443,Subset_Other,0.181818182,0.090909091,0.290909091
PGS004444,Subset_Other,0.163636364,0.072727273,0.272727273
PGS004513,Subset_Other,0.145454545,0.054545455,0.254545455
PGS004514,Subset_Other,0.145454545,0.054545455,0.254545455
PGS004595,Subset_Other,0.127272727,0.054545455,0.218181818
PGS004596,Subset_Other,0.109090909,0.036363636,0.2
PGS004696,Subset_Other,0.272727273,0.163636364,0.39953809
PGS004697,Subset_Other,0.290909091,0.181818182,0.418181818
PGS004698,Subset_Other,0.218181818,0.109090909,0.327272727
PGS004743,Subset_Other,0.181818182,0.090909091,0.290909091
PGS004744,Subset_Other,0.054545455,0,0.127272727
PGS004745,Subset_Other,0.109090909,0.036363636,0.2
PGS004746,Subset_Other,0.109090909,0.036363636,0.2
PGS000010,Subset_White,0.161434978,0.125560538,0.192825112
PGS000011,Subset_White,0.127802691,0.098654709,0.156950673
PGS000012,Subset_White,0.14573991,0.116591928,0.181557388
PGS000013,Subset_White,0.16367713,0.130044843,0.19955157
PGS000018,Subset_White,0.152466368,0.121076233,0.186098655
PGS000019,Subset_White,0.1367713,0.103139013,0.165919283
PGS000057,Subset_White,0.103139013,0.076233184,0.132230033
PGS000058,Subset_White,0.188340807,0.152466368,0.224215247
PGS000059,Subset_White,0.143497758,0.109865471,0.179315235
PGS000200,Subset_White,0.114349776,0.085201794,0.14573991
PGS000296,Subset_White,0.152466368,0.118834081,0.188283845
PGS000329,Subset_White,0.168161435,0.134529148,0.206278027
PGS000337,Subset_White,0.186098655,0.150224215,0.219730942
PGS000349,Subset_White,0.109865471,0.082959641,0.141255605
PGS000746,Subset_White,0.183856502,0.147982063,0.221973094
PGS000747,Subset_White,0.152466368,0.121076233,0.186098655
PGS000748,Subset_White,0.156950673,0.123318386,0.19058296
PGS000749,Subset_White,0.156950673,0.123318386,0.19058296
PGS000798,Subset_White,0.15470852,0.123318386,0.188340807
PGS000818,Subset_White,0.143497758,0.109865471,0.177130045
PGS000899,Subset_White,0.170403587,0.1367713,0.204035874
PGS000962,Subset_White,0.165919283,0.132286996,0.19955157
PGS001355,Subset_White,0.17264574,0.132286996,0.213004484
PGS001780,Subset_White,0.161434978,0.127802691,0.197309417
PGS001839,Subset_White,0.177130045,0.143497758,0.215246637
PGS002048,Subset_White,0.19058296,0.15252333,0.226457399
PGS002244,Subset_White,0.177130045,0.143497758,0.213004484
PGS002262,Subset_White,0.132286996,0.100953823,0.165919283
PGS002775,Subset_White,0.156950673,0.1256175,0.192825112
PGS002776,Subset_White,0.170403587,0.1367713,0.208520179
PGS002809,Subset_White,0.156950673,0.121076233,0.192825112
PGS003355,Subset_White,0.165919283,0.132286996,0.201793722
PGS003356,Subset_White,0.244394619,0.206278027,0.286938554
PGS003438,Subset_White,0.179372197,0.14573991,0.217488789
PGS003446,Subset_White,0.139013453,0.107623318,0.17264574
PGS003725,Subset_White,0.217488789,0.179429159,0.257847534
PGS003726,Subset_White,0.260089686,0.217488789,0.30044843
PGS003727,Subset_White,0.260089686,0.219787904,0.302633621
PGS003866,Subset_White,0.177130045,0.141255605,0.212947522
PGS004196,Subset_White,0.150224215,0.116591928,0.18379954
PGS004197,Subset_White,0.150224215,0.116591928,0.18379954
PGS004198,Subset_White,0.134529148,0.103139013,0.170403587
PGS004199,Subset_White,0.139013453,0.107623318,0.17264574
PGS004200,Subset_White,0.150224215,0.116591928,0.18161435
PGS004321,Subset_White,0.170403587,0.1367713,0.206278027
PGS004443,Subset_White,0.159192825,0.125560538,0.197252455
PGS004444,Subset_White,0.109865471,0.082959641,0.141255605
PGS004513,Subset_White,0.125560538,0.098654709,0.156950673
PGS004514,Subset_White,0.121076233,0.091985213,0.150224215
PGS004595,Subset_White,0.123318386,0.094170404,0.156950673
PGS004596,Subset_White,0.118834081,0.089686099,0.150224215
PGS004696,Subset_White,0.179372197,0.14573991,0.219730942
PGS004697,Subset_White,0.192825112,0.156950673,0.228699552
PGS004698,Subset_White,0.165919283,0.132286996,0.201793722
PGS004743,Subset_White,0.186098655,0.150224215,0.221973094
PGS004744,Subset_White,0.168161435,0.134529148,0.204035874
PGS004745,Subset_White,0.174887892,0.139070415,0.210762332
PGS004746,Subset_White,0.183856502,0.147982063,0.219730942