PRS,Group,OR,low_ci,high_ci
PGS000010,Total,1.130066063,1.068051842,1.19568101
PGS000011,Total,1.129638705,1.066666378,1.196328703
PGS000012,Total,1.152593663,1.08859566,1.220354077
PGS000013,Total,1.251870233,1.181189602,1.326780288
PGS000018,Total,1.253708685,1.184237411,1.327255373
PGS000019,Total,1.169395948,1.104806025,1.237761971
PGS000057,Total,1.125332036,1.062702884,1.191652164
PGS000058,Total,1.258750026,1.188857572,1.332751429
PGS000059,Total,1.164761688,1.100750092,1.232495731
PGS000200,Total,1.097204437,1.035907429,1.16212853
PGS000296,Total,1.243697903,1.174510647,1.316960794
PGS000329,Total,1.232146728,1.164732845,1.303462477
PGS000337,Total,1.238546175,1.169677002,1.311470282
PGS000349,Total,1.084660283,1.0245099,1.148342177
PGS000746,Total,1.253025578,1.183548208,1.326581452
PGS000747,Total,1.154399656,1.090928603,1.221563504
PGS000748,Total,1.17797969,1.113442333,1.246257762
PGS000749,Total,1.182612471,1.117852491,1.251124157
PGS000798,Total,1.220627734,1.152626762,1.292640527
PGS000818,Total,1.179972557,1.114281972,1.249535817
PGS000899,Total,1.239125925,1.170318635,1.311978646
PGS000962,Total,1.218771685,1.151541961,1.289926439
PGS001355,Total,1.256067707,1.186047901,1.330221219
PGS001780,Total,1.247072068,1.177477559,1.320779942
PGS001839,Total,1.284168451,1.212505157,1.360067297
PGS002048,Total,1.269845975,1.198922424,1.344965086
PGS002244,Total,1.236578692,1.167385328,1.309873291
PGS002262,Total,1.115024432,1.052358873,1.181421582
PGS002775,Total,1.244819576,1.175557492,1.318162478
PGS002776,Total,1.263095476,1.192902186,1.337419111
PGS002809,Total,1.184814491,1.119072844,1.254418231
PGS003355,Total,1.262576828,1.192299119,1.336996917
PGS003356,Total,1.606020491,1.517114856,1.700136155
PGS003438,Total,1.306525119,1.233923177,1.383398836
PGS003446,Total,1.221697255,1.150549177,1.297245014
PGS003725,Total,1.502183032,1.418254722,1.591077983
PGS003726,Total,1.595423822,1.506350173,1.689764583
PGS003727,Total,1.67781641,1.58513994,1.775911284
PGS003866,Total,1.273292233,1.201824042,1.349010383
PGS004196,Total,1.243133594,1.173649624,1.316731247
PGS004197,Total,1.229972272,1.160323945,1.303801233
PGS004198,Total,1.220325554,1.151370506,1.293410289
PGS004199,Total,1.239402636,1.169971257,1.312954387
PGS004200,Total,1.230875323,1.161644657,1.304231937
PGS004321,Total,1.155737348,1.091765917,1.223457151
PGS004443,Total,1.179968292,1.114420695,1.249371244
PGS004444,Total,1.104972937,1.043588196,1.16996838
PGS004513,Total,1.122592093,1.060355563,1.188481535
PGS004514,Total,1.066727612,1.007574143,1.12935391
PGS004595,Total,1.151818386,1.087499185,1.21994169
PGS004596,Total,1.129644593,1.067021168,1.195943384
PGS004696,Total,1.301238962,1.227458674,1.379454048
PGS004697,Total,1.31280673,1.23912446,1.39087038
PGS004698,Total,1.300939459,1.226173046,1.380264786
PGS004743,Total,1.300808296,1.22832259,1.377571524
PGS004744,Total,1.265336063,1.194650609,1.340203856
PGS004745,Total,1.245118073,1.175700692,1.318634093
PGS004746,Total,1.295708539,1.223586684,1.372081472
PGS000010,Subset_Other,1.036054945,0.821112683,1.307262538
PGS000011,Subset_Other,1.165212557,0.931449574,1.457642305
PGS000012,Subset_Other,1.136048107,0.902263788,1.430407958
PGS000013,Subset_Other,1.212264341,0.978805511,1.501406373
PGS000018,Subset_Other,1.422907354,1.100726047,1.839390777
PGS000019,Subset_Other,1.134146249,0.888436021,1.447811304
PGS000057,Subset_Other,1.171688814,0.930463817,1.475451976
PGS000058,Subset_Other,1.235686907,0.970248949,1.573742628
PGS000059,Subset_Other,1.073781809,0.840315135,1.372113063
PGS000200,Subset_Other,1.006742667,0.809563771,1.251946831
PGS000296,Subset_Other,1.317875668,1.031261013,1.684148101
PGS000329,Subset_Other,1.237247675,0.959648845,1.595147867
PGS000337,Subset_Other,1.232578355,0.962696316,1.578119055
PGS000349,Subset_Other,0.910898609,0.719076813,1.153891019
PGS000746,Subset_Other,1.242110351,0.96207612,1.603654943
PGS000747,Subset_Other,1.169602295,0.895029415,1.52840734
PGS000748,Subset_Other,1.426809971,1.101053201,1.848944893
PGS000749,Subset_Other,1.432829721,1.111635908,1.846828618
PGS000798,Subset_Other,1.211533886,0.953759238,1.538977867
PGS000818,Subset_Other,1.110511031,0.874996362,1.409417004
PGS000899,Subset_Other,1.215878345,0.956399845,1.545755322
PGS000962,Subset_Other,1.123410215,0.883477258,1.428503677
PGS001355,Subset_Other,1.28991779,1.021803729,1.628383082
PGS001780,Subset_Other,1.322796957,1.05058101,1.665546752
PGS001839,Subset_Other,1.312575785,1.036788329,1.661723173
PGS002048,Subset_Other,1.178324083,0.935471155,1.484222829
PGS002244,Subset_Other,1.174747819,0.928585272,1.486166623
PGS002262,Subset_Other,1.05011501,0.839721849,1.313222391
PGS002775,Subset_Other,1.325080459,1.023242681,1.71595483
PGS002776,Subset_Other,1.355402349,1.058147526,1.736162002
PGS002809,Subset_Other,1.055875682,0.825695317,1.350223786
PGS003355,Subset_Other,1.348165165,1.059872641,1.714875204
PGS003356,Subset_Other,1.67047239,1.331130059,2.096322584
PGS003438,Subset_Other,1.499823515,1.179979526,1.906364073
PGS003446,Subset_Other,1.100960763,0.948464571,1.277975625
PGS003725,Subset_Other,1.369757469,1.088581655,1.723559748
PGS003726,Subset_Other,1.584658703,1.259378558,1.993954232
PGS003727,Subset_Other,1.578049878,1.257131758,1.980891344
PGS003866,Subset_Other,1.21897243,0.966739672,1.537015422
PGS004196,Subset_Other,1.199729718,0.997920372,1.442350951
PGS004197,Subset_Other,1.110265395,0.925371838,1.332101536
PGS004198,Subset_Other,1.138907767,0.955294719,1.357812281
PGS004199,Subset_Other,1.169815277,0.969657397,1.411289994
PGS004200,Subset_Other,1.069567666,0.893148006,1.280834738
PGS004321,Subset_Other,0.985911819,0.78817035,1.233263996
PGS004443,Subset_Other,1.182652859,0.926024834,1.510399867
PGS004444,Subset_Other,1.058642305,0.829372712,1.351290577
PGS004513,Subset_Other,1.218870589,0.949837098,1.564105589
PGS004514,Subset_Other,1.127288917,0.877465654,1.448239365
PGS004595,Subset_Other,1.145016094,0.913153841,1.435751345
PGS004596,Subset_Other,1.197740464,0.942641663,1.521874403
PGS004696,Subset_Other,1.38201925,1.146657069,1.66569174
PGS004697,Subset_Other,1.597284086,1.282117169,1.989924567
PGS004698,Subset_Other,1.145264937,0.969030988,1.353549878
PGS004743,Subset_Other,1.296707973,1.0090923,1.66630106
PGS004744,Subset_Other,1.21936488,0.956894651,1.553829053
PGS004745,Subset_Other,1.165132959,0.910122583,1.491595569
PGS004746,Subset_Other,1.260659442,0.98716124,1.609931755
PGS000010,Subset_White,1.136221214,1.072013735,1.204274353
PGS000011,Subset_White,1.127242676,1.062302041,1.19615326
PGS000012,Subset_White,1.153637101,1.087571555,1.223715859
PGS000013,Subset_White,1.255086882,1.181534402,1.333218127
PGS000018,Subset_White,1.245235284,1.174528182,1.320198984
PGS000019,Subset_White,1.17142248,1.104951752,1.241891896
PGS000057,Subset_White,1.122398041,1.057973525,1.19074564
PGS000058,Subset_White,1.260071548,1.188123585,1.33637639
PGS000059,Subset_White,1.170168254,1.104146281,1.240137983
PGS000200,Subset_White,1.104308076,1.0403956,1.172146755
PGS000296,Subset_White,1.239428266,1.168598437,1.314551156
PGS000329,Subset_White,1.231770435,1.162711892,1.304930666
PGS000337,Subset_White,1.23871434,1.167966302,1.313747849
PGS000349,Subset_White,1.096508945,1.033907794,1.162900477
PGS000746,Subset_White,1.253503098,1.18225351,1.329046607
PGS000747,Subset_White,1.153390329,1.088540818,1.222103231
PGS000748,Subset_White,1.1667146,1.101293937,1.236021475
PGS000749,Subset_White,1.170807439,1.105127214,1.24039119
PGS000798,Subset_White,1.221103972,1.151094443,1.295371478
PGS000818,Subset_White,1.184410225,1.116537742,1.256408564
PGS000899,Subset_White,1.240530924,1.169664315,1.315691137
PGS000962,Subset_White,1.224557547,1.155101173,1.298190342
PGS001355,Subset_White,1.25387981,1.181840524,1.330310264
PGS001780,Subset_White,1.242084113,1.170597973,1.317935773
PGS001839,Subset_White,1.282408498,1.208692619,1.36062017
PGS002048,Subset_White,1.276049218,1.202517207,1.354077594
PGS002244,Subset_White,1.240657634,1.169111811,1.316581827
PGS002262,Subset_White,1.119890019,1.054813454,1.188981473
PGS002775,Subset_White,1.240802047,1.170065133,1.315815399
PGS002776,Subset_White,1.257872166,1.186099096,1.333988357
PGS002809,Subset_White,1.192584558,1.124585552,1.264695181
PGS003355,Subset_White,1.257399048,1.185413956,1.333755485
PGS003356,Subset_White,1.601737337,1.510249087,1.698767785
PGS003438,Subset_White,1.29573551,1.221669823,1.374291548
PGS003446,Subset_White,1.246837044,1.16751998,1.331542621
PGS003725,Subset_White,1.511330248,1.424166686,1.603828499
PGS003726,Subset_White,1.596173141,1.504227864,1.693738533
PGS003727,Subset_White,1.684669275,1.588633601,1.786510472
PGS003866,Subset_White,1.276886889,1.202942969,1.35537608
PGS004196,Subset_White,1.24815051,1.174756663,1.326129695
PGS004197,Subset_White,1.244818678,1.170409533,1.323958408
PGS004198,Subset_White,1.230998684,1.157310713,1.309378495
PGS004199,Subset_White,1.247126097,1.173746376,1.325093337
PGS004200,Subset_White,1.251726339,1.177289479,1.330869642
PGS004321,Subset_White,1.168918499,1.102013827,1.239885039
PGS004443,Subset_White,1.179762867,1.112417454,1.251185351
PGS004444,Subset_White,1.107623583,1.044379574,1.174697431
PGS004513,Subset_White,1.117358345,1.053784606,1.184767423
PGS004514,Subset_White,1.063326827,1.002822759,1.127481333
PGS004595,Subset_White,1.152171885,1.085714684,1.222696968
PGS004596,Subset_White,1.125616276,1.061429759,1.193684265
PGS004696,Subset_White,1.292606201,1.215583939,1.374508776
PGS004697,Subset_White,1.293836969,1.218695375,1.373611599
PGS004698,Subset_White,1.325140594,1.243690832,1.411924531
PGS004743,Subset_White,1.3008057,1.226408679,1.37971583
PGS004744,Subset_White,1.267908111,1.19504947,1.345208728
PGS004745,Subset_White,1.249506009,1.17791869,1.325444005
PGS004746,Subset_White,1.297522063,1.223288681,1.376260183